USPS	GEOID	ANSICODE	NAME	LSAD	FUNCSTAT	ALAND	AWATER	ALAND_SQMI	AWATER_SQMI	INTPTLAT	INTPTLONG                                                                                                 
NE	3115500	02398820	Elsie village	47	A	447450	0	0.173	0.	40.847168	-101.389155                                                                                                                          
NE	3115570	02398823	Elwood village	47	A	1426455	0	0.551	0.	40.590133	-99.861978                                                                                                                         
NE	3115605	02398824	Elyria village	47	A	689410	0	0.266	0.	41.680064	-99.005316                                                                                                                          
NE	3115675	02806912	Emerald CDP	57	S	1524771	0	0.589	0.	40.81313	-96.835371                                                                                                                             
NE	3115710	02398827	Emerson village	47	A	1226129	484	0.473	0.	42.278205	-96.72629                                                                                                                       
NE	3115815	02398829	Emmet village	47	A	667731	0	0.258	0.	42.475698	-98.809302                                                                                                                           
NE	3115885	02583879	Enders CDP	57	S	339662	0	0.131	0.	40.454919	-101.535567                                                                                                                             
NE	3115920	02398833	Endicott village	47	A	1187340	22458	0.458	0.009	40.082198	-97.095385                                                                                                                
NE	3116025	02398839	Ericson village	47	A	970579	0	0.375	0.	41.780442	-98.678576                                                                                                                         
NE	3116165	02398843	Eustis village	47	A	1095249	0	0.423	0.	40.664527	-100.029551                                                                                                                        
NE	3116270	02398848	Ewing village	47	A	1154218	0	0.446	0.	42.259359	-98.343746                                                                                                                          
NE	3116340	02398851	Exeter village	47	A	1640697	0	0.633	0.	40.64454	-97.448793                                                                                                                          
NE	3116410	02394728	Fairbury city	25	A	6567682	10793	2.536	0.004	40.144738	-97.176504                                                                                                                   
NE	3116445	02394733	Fairfield city	25	A	1862705	0	0.719	0.	40.432309	-98.103204                                                                                                                         
NE	3116550	02398854	Fairmont village	47	A	2979799	2002	1.151	0.001	40.633554	-97.584954                                                                                                                 
NE	3116655	02394740	Falls City city	25	A	8657746	12085	3.343	0.005	40.062208	-95.599013                                                                                                                 
NE	3116725	02398864	Farnam village	47	A	1743154	0	0.673	0.	40.706496	-100.215492                                                                                                                        
NE	3116760	02398866	Farwell village	47	A	447706	0	0.173	0.	41.215623	-98.628055                                                                                                                         
NE	3116830	02398876	Filley village	47	A	283199	0	0.109	0.	40.285202	-96.533935                                                                                                                          
NE	3116935	02398879	Firth village	47	A	911353	1016	0.352	0.	40.536572	-96.604176                                                                                                                        
NE	3117040	02583880	Fontanelle CDP	57	S	653794	0	0.252	0.	41.538255	-96.427187                                                                                                                          
NE	3117110	02398893	Fordyce village	47	A	376569	0	0.145	0.	42.698217	-97.362773                                                                                                                         
NE	3117145	02394795	Fort Calhoun city	25	A	1767855	0	0.683	0.	41.456237	-96.026273                                                                                                                      
NE	3117320	02398907	Foster village	47	A	577458	0	0.223	0.	42.274699	-97.665093                                                                                                                          
NE	3117530	00838009	Franklin city	25	A	2570050	0	0.992	0.	40.096549	-98.951425                                                                                                                          
NE	3117670	00838010	Fremont city	25	A	27958790	163158	10.795	0.063	41.439842	-96.487                                                                                                                    
NE	3117775	02394827	Friend city	25	A	2141992	0	0.827	0.	40.650513	-97.283795                                                                                                                            
NE	3117810	00838012	Fullerton city	25	A	3474841	61953	1.342	0.024	41.364988	-97.972261                                                                                                                  
NE	3117880	02398933	Funk village	47	A	680685	0	0.263	0.	40.463134	-99.250756                                                                                                                            
NE	3117950	02398941	Gandy village	47	A	636435	0	0.246	0.	41.469749	-100.458337                                                                                                                          
NE	3118230	02398945	Garland village	47	A	434211	0	0.168	0.	40.944587	-96.985292                                                                                                                         
NE	3118300	02398947	Garrison village	47	A	280037	0	0.108	0.	41.175505	-97.163426                                                                                                                        
NE	3118405	02394878	Geneva city	25	A	5861999	0	2.263	0.	40.530779	-97.597399                                                                                                                            
NE	3118475	00838022	Genoa city	25	A	2053549	21165	0.793	0.008	41.445874	-97.733271                                                                                                                      
NE	3118580	02394885	Gering city	25	A	13095663	0	5.056	0.	41.827494	-103.662173                                                                                                                          
NE	3118615	02394889	Gibbon city	25	A	2249567	0	0.869	0.	40.746067	-98.845814                                                                                                                            
NE	3118720	02398963	Gilead village	47	A	179203	0	0.069	0.	40.146093	-97.415052                                                                                                                          
NE	3118825	02398964	Giltner village	47	A	1003177	9798	0.387	0.004	40.775355	-98.154284                                                                                                                  
NE	3119070	02398978	Glenvil village	47	A	448610	0	0.173	0.	40.502682	-98.254545                                                                                                                         
NE	3119160	02587007	Glenwood CDP	57	S	6218242	0	2.401	0.	40.755459	-99.081007                                                                                                                           
NE	3119245	02398171	Goehner village	47	A	449851	0	0.174	0.	40.832732	-97.219574                                                                                                                         
NE	3119350	02394933	Gordon city	25	A	2412412	0	0.931	0.	42.806432	-102.203938                                                                                                                           
NE	3119385	02394936	Gothenburg city	25	A	9406374	117691	3.632	0.045	40.924676	-100.153929                                                                                                               
NE	3119455	02398184	Grafton village	47	A	903376	0	0.349	0.	40.629777	-97.714629                                                                                                                         
NE	3119595	00838031	Grand Island city	25	A	77921945	514070	30.086	0.198	40.921868	-98.358735                                                                                                            
NE	3119910	02394965	Grant city	25	A	2040503	0	0.788	0.	40.844679	-101.725576                                                                                                                            
NE	3120050	02398200	Greeley Center village	47	A	1630004	0	0.629	0.	41.548344	-98.530517                                                                                                                 
