jdwcheck/date,USPS,GEOID,NAME,year_dis,referendum,votesyes,voteno,vote_pct,vote_difference,threshold,success,vote_margin,registered,pop_dis,turnout_dis,turnout_pop_dis,year_nextpres
yes_20220503,NY,36XXXXX,Middleburgh,2013,TRUE,71,344,0.171084337,-0.657831325,0.5,NO,-0.328915663,NA,3543,NA,0.117132374,2016
yes_20220503,NY,36XXXXX,Odessa,2010,TRUE,74,154,0.324561404,-0.350877193,0.5,NO,-0.175438596,NA,591,NA,0.385786802,2012
yes_20220504,NY,36XXXXX,Painted Post,2012,TRUE,291,376,0.436281859,-0.127436282,0.5,NO,-0.063718141,NA,1809,NA,0.368711996,2012
yes_20220421,NY,3657287,Perrysburg CDP,2013,TRUE,60,9,0.869565217,0.739130435,0.5,YES,0.369565217,NA,401,NA,0.172069825,2016
yes_20220421,NY,3659333,Port Henry CDP,2010,TRUE,146,186,0.439759036,-0.120481928,0.5,NO,-0.060240964,NA,1194,NA,0.278056951,2012
yes_20220421,NY,3659333,Port Henry CDP,2018,TRUE,208,188,0.525252525,0.050505051,0.5,YES,0.025252525,NA,1120,NA,0.353571429,2020
yes_20220503,NY,36XXXXX,Potsdam,2011,TRUE,334,687,0.327130264,-0.345739471,0.5,NO,-0.172869736,NA,16041,NA,0.063649398,2012
yes_20220421,NY,3659883,Prospect CDP,2016,TRUE,91,7,0.928571429,0.857142857,0.5,YES,0.428571429,NA,291,NA,0.336769759,2016
yes_20220421,NY,3660576,Randolph CDP,2014,TRUE,125,13,0.905797101,0.811594203,0.5,YES,0.405797101,NA,2602,NA,0.053036126,2016
yes_20220503,NY,36XXXXX,Richfield Springs,2013,TRUE,48,288,0.142857143,-0.714285714,0.5,NO,-0.357142857,NA,1264,NA,0.265822785,2016
yes_20220503,NY,36XXXXX,Rushville,2017,TRUE,96,179,0.349090909,-0.301818182,0.5,NO,-0.150909091,NA,666,NA,0.412912913,2020
yes_20220421,NY,3664771,Salem CDP,2017,TRUE,192,49,0.796680498,0.593360996,0.5,YES,0.296680498,NA,946,NA,0.254756871,2020
yes_20220503,NY,36XXXXX,Schuylerville,2011,TRUE,73,321,0.185279188,-0.629441624,0.5,NO,-0.314720812,NA,1386,NA,0.284271284,2012
yes_20220421,NY,3666322,Seneca Falls CDP,2010,TRUE,1198,1112,0.518614719,0.037229437,0.5,YES,0.018614719,NA,6681,NA,0.345756623,2012
yes_20220504,NY,36XXXXX,Sherman,2016,TRUE,115,117,0.495689655,-0.00862069,0.5,NO,-0.004310345,472,732,0.491525424,0.316939891,2020
yes_20220504,NY,36XXXXX,Sinclairville,2019,TRUE,94,128,0.423423423,-0.153153153,0.5,NO,-0.076576577,NA,558,NA,0.397849462,2020
yes_20220503,NY,36XXXXX,Sloan,2010,TRUE,236,1031,0.186266772,-0.627466456,0.5,NO,-0.313733228,NA,7532,NA,0.168215613,2012
yes_20220503,NY,36XXXXX,Speculator,2008,TRUE,46,132,0.258426966,-0.483146067,0.5,NO,-0.241573034,NA,324,NA,0.549382716,2008
yes_20220503,NY,36XXXXX,Spencer,2020,TRUE,21,198,0.095890411,-0.808219178,0.5,NO,-0.404109589,NA,2979,NA,0.073514602,2020
yes_20220421,NY,3676881,Van Etten CDP,2017,TRUE,103,76,0.575418994,0.150837989,0.5,YES,0.075418994,NA,600,NA,0.298333333,2020
yes_20220503,NY,36XXXXX,Victory,2013,TRUE,82,143,0.364444444,-0.271111111,0.5,NO,-0.135555556,NA,1838,NA,0.122415669,2016
yes_20220503,NY,36XXXXX,Whitesboro,2011,TRUE,366,679,0.350239234,-0.299521531,0.5,NO,-0.149760766,NA,3772,NA,0.277041357,2012
yes_20220503,NY,36XXXXX,Williamsville,2010,TRUE,309,1546,0.166576819,-0.666846361,0.5,NO,-0.333423181,NA,5300,NA,0.35,2012
yes_20220504,NY,36XXXXX,Wilson,2014,TRUE,209,222,0.484918794,-0.030162413,0.5,NO,-0.015081206,NA,1264,NA,0.340981013,2016
yes_20220503,OH,39XXXXX,Alexandria,2018,TRUE,17,209,0.075221239,-0.849557522,0.5,NO,-0.424778761,NA,542,NA,0.41697417,2020
yes_20220421,OH,3901742,Amelia CDP,2019,TRUE,843,479,0.637670197,0.275340393,0.5,YES,0.137670197,NA,5039,NA,0.262353642,2020
yes_20220421,OH,3908168,Brady Lake CDP,2013,TRUE,63,135,0.318181818,-0.363636364,0.5,NO,-0.181818182,NA,518,NA,0.382239382,2016
yes_20220421,OH,3908168,Brady Lake CDP,2017,TRUE,106,88,0.546391753,0.092783505,0.5,YES,0.046391753,NA,518,NA,0.374517375,2016
yes_20220421,OH,3913834,Cherry Fork CDP,2014,TRUE,22,5,0.814814815,0.62962963,0.5,YES,0.314814815,NA,150,NA,0.18,2016
yes_20220503,OH,39XXXXX,Cheshire,2003,TRUE,5,60,0.076923077,-0.846153846,0.5,NO,-0.423076923,NA,221,NA,0.294117647,2004
yes_20220503,OH,39XXXXX,Cumberland,2007,TRUE,45,129,0.25862069,-0.482758621,0.5,NO,-0.24137931,NA,367,NA,0.474114441,2008
yes_20220421,OH,3927944,Fort Shawnee CDP,2012,TRUE,1085,858,0.558414822,0.116829645,0.5,YES,0.058414822,NA,3726,NA,0.521470746,2012
yes_20220503,OH,39XXXXX,Hartford,2014,TRUE,19,133,0.125,-0.75,0.5,NO,-0.375,NA,397,NA,0.382871537,2016
yes_20220503,OH,39XXXXX,Holmesville,2004,TRUE,43,136,0.240223464,-0.519553073,0.5,NO,-0.259776536,NA,386,NA,0.46373057,2004
yes_20220421,OH,3943596,Limaville CDP,2015,TRUE,23,29,0.442307692,-0.115384615,0.5,NO,-0.057692308,NA,151,NA,0.344370861,2016
yes_20220421,OH,3943596,Limaville CDP,2018,TRUE,30,12,0.714285714,0.428571429,0.5,YES,0.214285714,NA,151,NA,0.278145695,2020
yes_20220503,OH,39XXXXX,Martinsburg,2004,TRUE,11,77,0.125,-0.75,0.5,NO,-0.375,NA,185,NA,0.475675676,2004
yes_20220503,OH,39XXXXX,Neville,2016,TRUE,11,19,0.366666667,-0.266666667,0.5,NO,-0.133333333,NA,100,NA,0.3,2016
yes_20220503,OH,39XXXXX,New Rome,2003,FALSE,0,0,NA,NA,0.5,NA,NA,NA,NA,NA,NA,2004
yes_20220421,OH,39XXXXX,Newtonsville,2019,TRUE,53,46,0.535353535,0.070707071,0.5,YES,0.035353535,NA,392,NA,0.25255102,2020
yes_20220503,OH,39XXXXX,North Bend,2003,TRUE,88,309,0.221662469,-0.556675063,0.5,NO,-0.278337531,NA,603,NA,0.658374793,2004
yes_20220421,OH,3958800,Orient CDP,2013,TRUE,38,30,0.558823529,0.117647059,0.5,YES,0.058823529,165,270,0.412121212,0.251851852,2016
yes_20220421,OH,3970072,Salesville CDP,2015,TRUE,22,11,0.666666667,0.333333333,0.5,YES,0.166666667,NA,129,NA,0.255813953,2016
yes_20220503,OH,39XXXXX,Smithfield,2016,TRUE,94,128,0.423423423,-0.153153153,0.5,NO,-0.076576577,NA,790,NA,0.281012658,2016
yes_20220503,OH,39XXXXX,Smithfield,2019,TRUE,99,84,0.540983607,0.081967213,0.5,YES,0.040983607,NA,790,NA,0.23164557,2020
yes_20220421,OH,3972998,Somerville CDP,2017,TRUE,25,23,0.520833333,0.041666667,0.5,YES,0.020833333,NA,283,NA,0.169611307,2020
yes_20220421,OH,3969666,St. Martin CDP,2011,TRUE,43,14,0.754385965,0.50877193,0.5,YES,0.254385965,NA,129,NA,0.441860465,2012
yes_20220421,OH,3978848,Uniopolis CDP,2012,TRUE,57,60,0.487179487,-0.025641026,0.5,NO,-0.012820513,NA,222,NA,0.527027027,2012
yes_20220421,OH,3978848,Uniopolis CDP,2013,TRUE,49,23,0.680555556,0.361111111,0.5,YES,0.180555556,NA,222,NA,0.324324324,2016
yes_20220503,OR,4117800,Damascus CDP,2016,TRUE,2834,1400,0.66934341,0.338686821,0.5,YES,0.16934341,NA,12024,NA,0.352129075,2016
